OBJECTID,CHITRT0_,CHITRT0_ID,TRACT,STATE,COUNTY,CNTYTRT,POPU,Dist_5_mi,Dist_10_mi,Dist_15_mi,Dist_20_mi,Beta_6,Beta_8,Beta_10,Beta_12,Beta_14,Beta_16,Beta_18,Dist
920,921,319,809200,17,31,31809200,4993,3.373980758,2.932960252,3.548328259,3.287513483,3.310042114,3.833120918,4.77952101,6.433366453,9.101865428,12.94875866,17.82390429,0
921,922,323,808500,17,31,31808500,4076,5.403691977,3.185248825,3.900139255,3.527105807,3.0113519,3.076601789,3.101094688,3.072179744,2.981171535,2.826182717,2.621244428,0
922,923,324,808400,17,31,31808400,4409,5.610324679,3.001793453,3.87145807,3.56923982,2.979380454,3.035994366,3.061836386,3.056699548,3.030468229,3.005008444,3.018381479,0
923,924,325,805302,17,31,31805302,3827,4.516859341,3.327339227,3.903946823,3.652641028,2.938571669,2.969538641,2.954917923,2.882401144,2.742454454,2.53120169,2.260691803,0
924,925,326,806004,17,31,31806004,7461,3.373968922,3.277993562,3.507765782,3.696399544,2.91765288,2.942642241,2.923845735,2.848852136,2.706201727,2.488344733,2.203184768,0
925,926,327,806002,17,31,31806002,7975,3.293452099,3.390386078,3.611712109,3.753831741,2.877504935,2.908442883,2.918041555,2.902944471,2.857822086,2.773961559,2.646598329,0
926,927,328,806003,17,31,31806003,7831,3.532880014,3.26569555,3.633143573,3.67772113,2.895010256,2.915609545,2.896498504,2.826634621,2.69501217,2.49316344,2.226275268,0
927,928,331,809500,17,31,31809500,3407,2.911226066,2.832034529,3.414706395,3.287513483,3.098713284,3.272512676,3.471575962,3.687055688,3.888395911,4.017767338,4.014233455,0
928,929,332,809400,17,31,31809400,4496,2.911226066,2.634567616,3.404643862,3.221475629,3.020605443,3.121533594,3.203627852,3.248150253,3.227971102,3.111295503,2.882698371,0
929,930,335,805301,17,31,31805301,3513,3.837235183,3.406409764,3.981770504,3.65701887,2.954331932,2.991140462,2.982469204,2.915090328,2.77684779,2.559177888,2.269353438,0
930,931,338,806200,17,31,31806200,7196,3.182394921,2.800403141,3.385261983,3.845260623,2.926475207,3.04891038,3.25041975,3.595743212,4.16244276,5.01471726,6.171234199,0
931,932,339,809600,17,31,31809600,3497,3.169645751,3.016650401,3.501587823,3.287513483,3.159721241,3.374136516,3.630266317,3.920965929,4.211700158,4.432728588,4.506873357,0
932,933,340,807100,17,31,31807100,4136,3.680316441,2.978073949,3.625158135,3.382501279,3.146161771,3.325702419,3.515452658,3.696964487,3.827962147,3.843207882,3.697372687,0
933,934,341,807000,17,31,31807000,5280,4.464962507,3.428063737,3.875087775,3.646065993,3.085284229,3.211577197,3.332346675,3.446687247,3.551131799,3.633309313,3.678121985,0
934,935,343,806802,17,31,31806802,3526,4.182293424,3.031517112,3.926927349,3.408405964,3.111650573,3.253213055,3.382938176,3.479602828,3.503619377,3.399382497,3.13460956,0
935,936,348,805901,17,31,31805901,3819,3.336515077,2.913143131,3.724551919,3.854321084,2.917166519,2.957678055,2.97281249,2.957006885,2.901636114,2.793444653,2.623607394,0
936,937,350,806300,17,31,31806300,4917,3.594267272,2.668443086,3.209439992,3.850812787,2.839771465,2.870745457,2.900669217,2.939747635,2.997189726,3.073669422,3.159647586,0
937,938,356,809800,17,31,31809800,2803,3.596017717,2.717269159,3.414706395,3.300798306,3.164475553,3.37716368,3.634741642,3.93869221,4.266959297,4.563865771,4.759607273,0
938,939,357,809900,17,31,31809900,2476,3.455816456,2.717269159,3.414706395,3.278097291,3.055089816,3.159493785,3.235954262,3.263958033,3.218454779,3.075810084,2.831228824,0
939,940,358,809700,17,31,31809700,3903,3.339489069,3.122924694,3.542638644,3.325413427,3.186275486,3.390589536,3.612192094,3.832243896,4.009163332,4.080993648,3.997551831,0
940,941,359,807200,17,31,31807200,6024,3.915849704,3.066171937,3.749292003,3.386176343,3.384977043,3.931970478,4.958254711,6.845575505,9.961198054,14.26233157,19.02906577,0
941,942,360,807300,17,31,31807300,6709,5.827540201,3.24273978,3.856443978,3.500475671,3.176129686,3.371780994,3.618449085,3.962315208,4.462187387,5.164136381,6.073560831,0
942,943,361,808301,17,31,31808301,4529,5.09341627,3.061290915,3.933886862,3.641905089,3.064640359,3.143565546,3.179541877,3.162544929,3.088466976,2.961611796,2.803056221,0
